,ID,No,Yes
1,1171,0.899402836,0.100597164
2,1172,0.879960123,0.120039877
3,1173,0.87747188,0.12252812
4,1174,0.966642032,0.033357968
5,1175,0.894014981,0.105985019
6,1176,0.899785035,0.100214965
7,1177,0.965093263,0.034906737
8,1178,0.941569946,0.058430054
9,1179,0.652005248,0.347994752
10,1180,0.960129638,0.039870362
11,1181,0.854072427,0.145927573
12,1182,0.720810659,0.279189341
13,1183,0.945830667,0.054169333
14,1184,0.9954654,0.0045346
15,1185,0.552991596,0.447008404
16,1186,0.772712164,0.227287836
17,1187,0.67618232,0.32381768
18,1188,0.980855301,0.019144699
19,1189,0.904114984,0.095885016
20,1190,0.976138746,0.023861254
21,1191,0.551698602,0.448301398
22,1192,0.996985958,0.003014042
23,1193,0.765620678,0.234379322
24,1194,0.798210687,0.201789313
25,1195,0.702073983,0.297926017
26,1196,0.904504461,0.095495539
27,1197,0.598924284,0.401075716
28,1198,0.561293542,0.438706458
29,1199,0.631941392,0.368058608
30,1200,0.702135601,0.297864399
31,1201,0.210960421,0.789039579
32,1202,0.897604488,0.102395512
33,1203,0.931268876,0.068731124
34,1204,0.317464803,0.682535197
35,1205,0.300011394,0.699988606
36,1206,0.872420952,0.127579048
37,1207,0.990351764,0.009648236
38,1208,0.892515549,0.107484451
39,1209,0.996724267,0.003275733
40,1210,0.99229891,0.00770109
41,1211,0.611297557,0.388702443
42,1212,0.555698289,0.444301711
43,1213,0.992813049,0.007186951
44,1214,0.960345215,0.039654785
45,1215,0.654314424,0.345685576
46,1216,0.999048736,0.000951264
47,1217,0.984602948,0.015397052
48,1218,0.86066827,0.13933173
49,1219,0.473638693,0.526361307
50,1220,0.802191891,0.197808109
51,1221,0.985899527,0.014100473
52,1222,0.645036853,0.354963147
53,1223,0.928736524,0.071263476
54,1224,0.950341785,0.049658215
55,1225,0.823998783,0.176001217
56,1226,0.997214474,0.002785526
57,1227,0.351510401,0.648489599
58,1228,0.613588,0.386412
59,1229,0.951163053,0.048836947
60,1230,0.686316486,0.313683514
61,1231,0.998530028,0.001469972
62,1232,0.802457601,0.197542399
63,1233,0.12052052,0.87947948
64,1234,0.920062798,0.079937202
65,1235,0.86691064,0.13308936
66,1236,0.80908083,0.19091917
67,1237,0.989122673,0.010877327
68,1238,0.878164049,0.121835951
69,1239,0.786039567,0.213960433
70,1240,0.806637836,0.193362164
71,1241,0.68224537,0.31775463
72,1242,0.882324497,0.117675503
73,1243,0.938517554,0.061482446
74,1244,0.777425381,0.222574619
75,1245,0.929234777,0.070765223
76,1246,0.588700843,0.411299157
77,1247,0.968130106,0.031869894
78,1248,0.497533831,0.502466169
79,1249,0.851260546,0.148739454
80,1250,0.8846656,0.1153344
81,1251,0.915615681,0.084384319
82,1252,0.938080619,0.061919381
83,1253,0.960126032,0.039873968
84,1254,0.771870328,0.228129672
85,1255,0.883046179,0.116953821
86,1256,0.974724214,0.025275786
87,1257,0.911134472,0.088865528
88,1258,0.973919617,0.026080383
89,1259,0.906755789,0.093244211
90,1260,0.469122067,0.530877933
91,1261,0.912759436,0.087240564
92,1262,0.790287757,0.209712243
93,1263,0.565508844,0.434491156
94,1264,0.995064731,0.004935269
95,1265,0.936287843,0.063712157
96,1266,0.966152419,0.033847581
97,1267,0.902124779,0.097875221
98,1268,0.932813277,0.067186723
99,1269,0.59476131,0.40523869
100,1270,0.411473977,0.588526023
101,1271,0.796840545,0.203159455
102,1272,0.781024666,0.218975334
103,1273,0.407419849,0.592580151
104,1274,0.976896195,0.023103805
105,1275,0.617255457,0.382744543
106,1276,0.852013381,0.147986619
107,1277,0.741035915,0.258964085
108,1278,0.826402273,0.173597727
109,1279,0.809225136,0.190774864
110,1280,0.955608254,0.044391746
111,1281,0.685804844,0.314195156
112,1282,0.912255875,0.087744125
113,1283,0.918867524,0.081132476
114,1284,0.784784843,0.215215157
115,1285,0.979921459,0.020078541
116,1286,0.881898359,0.118101641
117,1287,0.575030026,0.424969974
118,1288,0.929563524,0.070436476
119,1289,0.75840417,0.24159583
120,1290,0.986434392,0.013565608
